n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
79 42907596 42758899 42946402 42941501 42936828 42943789 42939968 42942118 42941921 42932850 42943725 42943273 42931596 42935715 42939444 42938983 42939877 42943919 42934928 42941193 42939133 42938209 42951425 42933925 42940611 42949298 42947143 42950224 42943259 42937431 42981105 42945353 
80 42934795 42772903 42950980 42945533 42937455 42945058 42949880 42936323 42933328 42946658 42929812 42948916 42939804 42948344 42933923 42935870 42949173 42947342 42930368 42945976 42946287 42940371 42942241 42933252 42939900 42942095 42942315 42937757 42936368 42945966 42983478 -13792129 
81 42925560 42778060 42949463 42949112 42940941 42939443 42951034 42943168 42941556 42951220 42944728 42940199 42941587 42943179 42946766 42925462 42942781 42938433 42938916 42934400 42937317 42941721 42953059 42950820 42945485 42947929 42942020 42938986 42936762 42947140 -356140154 1882556632 
82 42914788 42771817 42950287 42941746 42946607 42937318 42952518 42947025 42933199 42947645 42934197 42949513 42940833 42935370 42938119 42948854 42950141 42942107 42941885 42942783 42949568 42938083 42939640 42927019 42948279 42951012 42934475 42930140 42927659 42951438 42936437 1372596421 
83 42923613 42786409 42942408 42932458 42934737 42942792 42942792 42945863 42929153 42956157 42941626 42943702 42945246 42957587 42959199 42929766 42941289 42948927 42949649 42957407 42945941 42943121 42937726 42953052 42948668 42950237 42937325 42943702 42935091 42938799 1762632797 42938305 
84 42909883 42762114 42953634 42953221 42959481 42946643 42934714 42931711 42946158 42935944 42945610 42928132 42951830 42947138 42929841 42946201 42943122 42938763 42945918 42938279 42948282 42956373 42946205 42950834 42942144 42937195 42951215 42947698 42947321 42943201 42959254 177155093 
85 42932938 42787073 42960776 42947623 42952503 42939645 42944196 42940447 42952598 42938365 42936675 42942561 42955196 42940047 42943977 42938122 42945256 42950414 42952794 42941574 42945368 42937829 42942805 42945103 42936817 42957698 42939756 42946661 42942624 42940941 975538164 42945137 
86 42911389 42776588 42937523 42951545 42941138 42940531 42937591 42942095 42941689 42937141 42938748 42937164 42930863 42947153 42936701 42943815 42942283 42938822 42952545 42954099 42943347 42942554 42940993 42940043 42942218 42941340 42943163 42959244 42944586 42943252 42938535 -13788218 
87 42934192 42779101 42947913 42945667 42943103 42935543 42935504 42940451 42937628 42951391 42941843 42941412 42934479 42949706 42936705 42943088 42944803 42935930 42953329 42946696 42949287 42947064 42945486 42946850 42931466 42949317 42948141 42950989 42942039 42937051 42966504 1882563637 
88 42937120 42768661 42951179 42958056 42935626 42938113 42947177 42947340 42951424 42948435 42955044 42953378 42937742 42938831 42941839 42947667 42950780 42949533 42962001 42943337 42949864 42936607 42940021 42945165 42935591 42948082 42944332 42948579 42959052 42945294 42942579 1372538389 
89 42931621 42783337 42948298 42950983 42942536 42943365 42949398 42951497 42953050 42944704 42944287 42946419 42940881 42945695 42937115 42940381 42940615 42941412 42948078 42943065 42935006 42934199 42930808 42938443 42953801 42936941 42943170 42941284 42942082 42940234 42963137 -2104553923 
90 42930530 42769394 42950602 42943114 42946596 42943633 42948950 42956024 42945770 42943027 42944099 42950555 42945123 42943647 42947687 42937371 42948060 42947000 42956954 42936685 42950457 42953299 42946325 42936914 42941845 42943495 42958163 42931598 42948698 42955960 -15768929 177165396 
91 42931582 42775803 42939235 42940482 42943352 42949464 42941943 42950794 42951107 42940109 42937068 42948413 42948104 42943316 42943413 42934342 42937471 42950923 42941742 42946078 42952101 42947015 42935292 42947673 42946589 42951375 42940252 42943509 42944096 42950057 -357036114 42943781 
92 42940490 42776241 42940799 42950643 42951584 42938976 42948698 42942057 42953152 42948331 42955331 42955402 42951581 42952765 42954616 42943372 42942698 42935677 42948760 42945920 42950315 42944722 42950752 42966550 42935426 42940827 42944854 42949759 42942146 42939320 42940032 -13794456 
93 42934639 42786837 42958659 42958309 42954196 42955984 42950459 42944364 42940412 42955121 42955103 42950817 42959099 42943390 42954151 42946799 42940729 42947870 42952931 42952811 42949779 42940076 42939840 42947030 42952379 42943031 42952747 42946325 42935602 42953524 39187630 1882549121 
94 42933696 42780254 42946956 42955312 42954387 42961195 42947137 42957101 42946001 42943668 42947769 42934624 42941752 42949568 42952059 42943019 42938547 42945568 42952061 42940273 42944834 42940288 42947087 42950579 42948920 42946560 42948294 42944524 42957151 42938067 -15758869 1372529366 
95 42931684 42777290 42942511 42955180 42946050 42943608 42953374 42939037 42945632 42953448 42931591 42946261 42958618 42943679 42947773 42939886 42945140 42949625 42938621 42950922 42938634 42944763 42934255 42951588 42941726 42936044 42944070 42948714 42946228 42939714 -376543529 -364268360 
96 42946286 42787798 42942804 42935803 42946345 42952039 42954502 42945181 42950572 42949612 42954989 42956864 42939581 42962114 42952859 42941043 42966528 42943976 42956615 42948622 42945058 42950364 42941572 42948269 42949650 42941430 42958204 42950005 42940110 42952772 -15708649 177165358 
97 42919237 42801552 42951065 42945516 42944496 42943970 42950774 42946701 42950520 42958053 42955886 42940748 42950115 42956199 42941594 42935490 42945981 42940719 42940672 42941713 42947577 42953815 42951452 42957135 42960563 42946302 42953049 42943956 42948391 42955209 -357024677 385778324 
98 42948931 42788578 42936546 42945317 42959286 42946235 42933931 42941164 42943543 42945027 42949848 42946515 42941423 42942192 42952832 42945649 42939204 42944543 42952448 42946695 42946762 42938758 42944635 42957430 42943977 42947292 42954358 42944097 42956873 42933036 42944950 42953867 
99 42952924 42776591 42951179 42950884 42944256 42942659 42947735 42951466 42950848 42943218 42951305 42936662 42942152 42952871 42952135 42945867 42937227 42947850 42941283 42942595 42947874 42947189 42943533 42947496 42956636 42946425 42940081 42950967 42961059 42947376 39191314 42949322 
100 42949631 42781727 42958168 42946235 42958081 42942371 42953802 42951426 42949213 42942579 42943987 42951768 42953291 42949050 42950484 42935852 42944125 42962560 42951516 42961266 42928112 42949249 42944775 42941875 42952443 42940984 42936254 42956910 42932154 42957554 -15714784 1764179143 
