n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
74 429211121 427725737 429501102 429375048 429445008 429370665 429356998 429352168 429398511 429395384 429406936 429453735 429385159 429390827 429437713 429311559 429366107 429465127 429509067 429403543 429448536 429426440 429380863 429433978 429434653 429349611 429350063 429401708 429417888 429385357 429317823 429446070 
75 429227953 427717465 429409653 429453790 429406465 429382703 429399126 429455563 429417289 429403255 429389879 429401467 429420070 429429763 429408924 429336286 429449624 429407862 429440493 429413170 429422515 429396042 429418319 429432183 429413220 429336044 429429125 429444063 429447869 429470295 429461419 429319700 
76 429273147 427733631 429463253 429414424 429471268 429450642 429388047 429380304 429457483 429422047 429422690 429451472 429409196 429413598 429400954 429347719 429384789 429468973 429405798 429404743 429364609 429405251 429450940 429417859 429430015 429429680 429447091 429416384 429419516 429350705 429324218 429363949 
77 429208245 427723088 429429427 429396504 429426709 429405263 429450425 429412297 429378221 429426166 429408346 429438863 429412077 429418269 429398311 429367771 429421134 429427266 429374372 429457545 429463728 429396168 429402171 429442950 429384370 429385685 429460442 429470151 429422394 429389936 429504191 429383352 
78 429197217 427706264 429463511 429423377 429414459 429350152 429443920 429449912 429391465 429426756 429384254 429421502 429406047 429430666 429459331 429348241 429391228 429431848 429433995 429389157 429391629 429424461 429380729 429421449 429443662 429410809 429447212 429382817 429436635 429399099 429362639 429433606 
79 429165048 427692518 429424414 429441944 429413052 429418121 429399383 429423060 429476273 429351559 429423700 429418272 429362787 429446367 429410244 429359272 429452495 429361619 429396286 429431509 429426040 429390764 429442575 429395376 429418091 429416975 429488730 429445026 429495929 429441063 429456150 429355302 
80 429344926 427674474 429455836 429444614 429419817 429445606 429442200 429416017 429377468 429420548 429336394 429429578 429395503 429453828 429391201 429388268 429473732 429441879 429438520 429422820 429443077 429416111 429420535 429424098 429449134 429412881 429436343 429466895 429425685 429425106 429365180 429415411 
81 429227078 427793358 429452039 429430636 429384408 429394234 429421807 429384315 429485113 429464349 429448401 429428003 429412650 429450899 429391255 429376808 429481970 429435582 429409929 429380700 429415750 429431997 429411946 429492137 429447938 429489611 429412809 429411939 429443858 429442385 429497098 429365712 
82 429241043 427708163 429404346 429426134 429469683 429438869 429457646 429409231 429413807 429463885 429399893 429491591 429423241 429410793 429401864 429419422 429478058 429401895 429388323 429446546 429466661 429462890 429371595 429410870 429396224 429448154 429398993 429350293 429419273 429511380 429361465 429445190 
83 429249203 427813923 429427846 429405922 429422159 429406748 429437921 429409092 429414643 429498486 429441876 429450370 429467605 429468998 429481627 429357997 429421362 429475072 429449601 429514837 429438068 429445994 429414505 429467480 429411218 429449517 429398014 429446951 429408149 429395174 429532867 429377488 
