n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
51 39016745 38867447 39037767 39030867 39027397 39024353 39023813 39034933 39035819 39033141 39039327 39026899 39029881 39022206 39034410 39022306 39034667 39036304 39026587 39038272 39040318 39037385 39023495 39030624 39034007 39024317 39036296 39041233 39027440 39031327 39041197 39018786 
52 39024620 38863329 39035697 39032789 39030709 39029006 39034826 39031163 39029985 39028227 39034542 39033643 39030994 39031521 39030802 39019942 39037813 39039361 39033294 39024694 39038535 39028359 39028629 39035069 39027794 39030213 39029410 39025444 39032090 39032450 39028550 39018598 
53 39011296 38854481 39039243 39035836 39046782 39035200 39027951 39030300 39037043 39039958 39030145 39038985 39037710 39027793 39036681 39045070 39031597 39027115 39027558 39038139 39030075 39034170 39021174 39035346 39028975 39028555 39036016 39038384 39031966 39025675 39043089 39019396 
54 39021801 38868875 39037515 39029933 39031496 39034428 39026984 39024305 39034152 39041585 39031733 39027887 39030804 39039822 39024629 39018733 39045897 39034732 39035911 39028037 39034047 39037343 39033685 39032092 39024619 39034076 39038261 39021255 39034952 39035124 39023602 39029941 
55 39021834 38873033 39037119 39023559 39024451 39026340 39039650 39034252 39039389 39028508 39031460 39039107 39016455 39031087 39031704 39026021 39034940 39039117 39031170 39033497 39034716 39024367 39035711 39033129 39030675 39043519 39028950 39042715 39030325 39038251 39035716 39030907 
56 39015713 38869784 39037320 39033993 39021179 39029472 39021881 39038380 39036681 39034054 39029857 39035242 39041968 39029289 39030276 39029830 39038244 39028512 39030024 39032505 39042989 39034538 39030276 39032807 39036162 39029528 39039464 39031967 39023323 39037124 39020315 39025789 
57 39009711 38865399 39033671 39024255 39026396 39029344 39032525 39028307 39031591 39033079 39030875 39041895 39032400 39028895 39039246 39022215 39026425 39033966 39021090 39041029 39034691 39032243 39037370 39028228 39032084 39033146 39033855 39032305 39018499 39032692 39039339 39021476 
58 39016553 38855561 39034266 39040174 39032614 39026898 39037481 39036756 39028194 39033615 39022308 39033676 39029873 39044057 39041978 39031800 39023974 39032302 39038644 39037276 39037915 39042284 39039088 39025856 39029308 39023895 39036356 39034469 39031727 39032849 39027480 39023463 
59 39025028 38865728 39029770 39023705 39033044 39031458 39028851 39033054 39040529 39032994 39030407 39025531 39039184 39028269 39040747 39026838 39040352 39037424 39037659 39032207 39027935 39036705 39042936 39028612 39030992 39038866 39038026 39042603 39038925 39035157 39036248 39026732 
60 39009657 38870978 39042525 39036345 39036940 39039019 39028990 39032826 39023286 39034338 39030906 39037965 39034028 39027677 39037045 39021897 39028491 39035074 39039077 39031400 39031504 39034711 39040924 39035503 39031273 39042062 39034231 39017715 39030516 39043425 39020637 39033070 
